	Visual Properties						Labels				Layout						Graph Metrics									Do Not Edit		Other Columns																		
Vertex	Color	Shape	Size	Opacity	Image File	Visibility	Label	Label Fill Color	Label Position	Tooltip	Layout Order	X	Y	Locked?	Polar R	Polar Angle	Degree	In-Degree	Out-Degree	Betweenness Centrality	Closeness Centrality	Eigenvector Centrality	PageRank	Clustering Coefficient	Reciprocated Vertex Pair Ratio	ID	Dynamic Filter	Add Your Own Columns Here	Followed	Followers	Tweets	Favorites	Time Zone UTC Offset (Seconds)	Description	Location	Web	Time Zone	Joined Twitter Date (UTC)	Custom Menu Item Text	Custom Menu Item Action	Tweeted Search Term?	User of Interest?				
weetix					http://pbs.twimg.com/profile_images/3212975652/05321d63fc56c2c7d4aa3a75cd9ed9e5_normal.png					"weetix

"																			4	15758	1172	0	3600	"Retrouvez toute l'actualité autour des concours Weetix : Happy Hours, Promos Boost, nouveaux lots, code de réduction,... RDV sur http://t.co/Ch7aqhjT"	"Paris, France"	http://t.co/Ch7aqhjT	Paris	40038.01319	Open Twitter Page for This Person	https://twitter.com/weetix	No					
candicereneking					http://pbs.twimg.com/profile_images/526454481274568704/OR2r-eLr_normal.jpeg					"candicereneking

""@ninadobrev: Went to the Grove
today w/ @iansomerhalder and Paul
and we all picked out some really
amazing stuff at the Apple Store!!!
:)"""																			382	740	3442	2801		My life consists of being on twitter 24/7 obsessing over people who don't know I exsist				41638.55468	Open Twitter Page for This Person	https://twitter.com/candicereneking	Yes					
iansomerhalder					http://pbs.twimg.com/profile_images/378800000598779913/343e53f9674410d786cab7c8fd8c4688_normal.jpeg					"iansomerhalder

"																			604	5369483	7915	12	-25200	Dead guy on LOST now undead on The Vampire Diaries.Proud Co-Founder of The Ian Somerhalder Foundation. Still happily contemplating Man's existential dilemma...	"Atlanta, NYC, Venice... "	http://t.co/buGrmns4hw	Pacific Time (US & Canada)	40013.69216	Open Twitter Page for This Person	https://twitter.com/iansomerhalder	No					
ninadobrev					http://pbs.twimg.com/profile_images/441276796495859712/9H6t4CD__normal.jpeg					"ninadobrev

"																			105	5050792	5113	19	-14400	Where ever you go... there you are.  Going day by day... so let's see where it takes me! Namaste.		http://t.co/xnBDvid2zp	Eastern Time (US & Canada)	40067.75057	Open Twitter Page for This Person	https://twitter.com/ninadobrev	No					
holly_bob_					http://pbs.twimg.com/profile_images/526870053183315969/dGphFfIG_normal.jpeg					"holly_bob_

RT @dapperlaughs: Guys, this is
a little bit cheeky this album..
But pre order it &amp; help the
homeless &amp; get it noticed :)
http://t.co/b4Nxi…"																			187	50	83	1	0	Aries females will act like gentle feminine creatures but in fact they will beat your ass down if need be!!	"Weybridge, Surrey"		London	40628.62854	Open Twitter Page for This Person	https://twitter.com/holly_bob_	Yes					
dapperlaughs					http://pbs.twimg.com/profile_images/469936918638366721/tzsx7uQF_normal.jpeg					"dapperlaughs

"																			678	357357	13196	34381	0	SNAPCHAT: Dapper29 Vine: Dapperlaughs Instagram: DappersInstagram. MGMT: @84World	London	http://t.co/CSFTP48GVv	London	41267.77882	Open Twitter Page for This Person	https://twitter.com/dapperlaughs	No					
evidencestyles					http://pbs.twimg.com/profile_images/527221450986360833/ML0e6iUw_normal.png					"evidencestyles

RT @zaynmalik: Story of My life
is out now :) X http://t.co/TcW2rImBFS"																			2742	3111	18583	727	-7200	selena makes me wanna tssssssssssssssss i cant stand it one more day	kellly and tay 	https://t.co/pmG4VdHz9S	Brasilia	41469.88981	Open Twitter Page for This Person	https://twitter.com/evidencestyles	Yes					
deviren_cem					http://pbs.twimg.com/profile_images/518872808789901312/hl9_Ejr0_normal.jpeg					"deviren_cem

@serdarozatici apple store senin
icin bro :) http://t.co/FtJHAnN6pk"																			104	22	45	20			yalova			41906.49586	Open Twitter Page for This Person	https://twitter.com/deviren_cem	Yes					
serdarozatici					http://pbs.twimg.com/profile_images/497713497929953280/yPGbn8mM_normal.jpeg					"serdarozatici

"																			97	210	7693	2549	-18000	psikopatl?kla alakas? yok senin dal?n? k?ran?n a?ac?n? kökünden sökeceksin			Quito	40732.97493	Open Twitter Page for This Person	https://twitter.com/serdarozatici	No					
nahzkilam					http://pbs.twimg.com/profile_images/525309798972411904/CfNOxXba_normal.jpeg					"nahzkilam

RT @zaynmalik: Story of My life
is out now :) X http://t.co/TcW2rImBFS"																			276	320	3445	657	-10800	"@onedirection you complete me, you make me happy, I love you || wwat 11.05 || Cody followed 17.10 || Jeremy followed 19.10 || BO$$ ||"	0/4 || 0/5 || 0/3 || 0/5	http://t.co/7Y0sCbTcQT	Santiago	41789.77602	Open Twitter Page for This Person	https://twitter.com/nahzkilam	Yes					
5sos					http://pbs.twimg.com/profile_images/520690637339770880/ChNSWk2p_normal.jpeg					"5sos

"																			30205	4956669	18855	1064	39600	4 aussies making music :) love the people who support us! Preorder our 'Good Girls' EP :) http://t.co/hKuM2TcnaD | @ashton5sos @calum5sos @michael5sos @luke5sos	"Sydney, Australia"	http://t.co/ts4Z9TbmDk	Sydney	40613.4297	Open Twitter Page for This Person	https://twitter.com/5sos	No					
nikolesiilva					http://pbs.twimg.com/profile_images/526780161715228673/3uP2zgkR_normal.jpeg					"nikolesiilva

RT @zaynmalik: UK, have you pre-orderded
Steal My Girl? :) http://t.co/Gu85h9G5eJ"																			46	229	5867	336	-7200	I can not be what you want me to be.'		http://t.co/TIeOW2IaYw	Brasilia	41443.72884	Open Twitter Page for This Person	https://twitter.com/nikolesiilva	Yes					
theschmidtlover					http://pbs.twimg.com/profile_images/526812760261160961/0O723g-1_normal.jpeg					"theschmidtlover

""@PhaseVMusic: List out some good
radio stations for #NGGYU to get
played here's the link if you need
it :) https://t.co/LNYEWtsH6P"""																			2110	1980	33848	1756		26. Iris Swiftie/Rusher/Viber) ?Diego Boneta? Cowboys Fan @JakeMiller Followed on 10/20/14	"Rio Grande Valley,Texas"			40899.88927	Open Twitter Page for This Person	https://twitter.com/theschmidtlover	Yes					
phasevmusic					http://pbs.twimg.com/profile_images/518442933251358720/najJF3Qt_normal.jpeg					"phasevmusic

List out some good radio stations
for #NGGYU to get played here's
the link if you need it :) https://t.co/C6OOxMJXXi"																			13658	17780	4814	8798		"International Urban-Pop Boyband (Sony Music/Parimore) Jeremiah, Jay C, Nelson, Alex, & Joey! | Buy #NGGYU here
https://t.co/8fPj5dEVYr! | @parimoremgmt"	"Los Angeles, CA"	http://t.co/M46kp2IFCr		41603.20872	Open Twitter Page for This Person	https://twitter.com/phasevmusic	Yes					
wwejuliebryan					http://pbs.twimg.com/profile_images/526839183348748289/hdxvso_2_normal.jpeg					"wwejuliebryan

RT @PhaseVMusic: List out some
good radio stations for #NGGYU
to get played here's the link if
you need it :) https://t.co/C6OOxMJXXi"																			660	925	28733	4682	-25200	Met Bryan&Brie?On 9/22/13?Met WWE Superstars On 4/12/14?PhaseFive?D_Harris?#17?BenFisherMilitia?AustinFollowsMe!?	Somewhere In The RGV		Pacific Time (US & Canada)	41559.11605	Open Twitter Page for This Person	https://twitter.com/wwejuliebryan	Yes					
ailyntiare					http://pbs.twimg.com/profile_images/514519023480864768/uz-8aLd9_normal.jpeg					"ailyntiare

RT @IsaacMoraleja: Por si no lo
sabías, saqué mi 1er CD de Alabanza
hace 3 semanas. Descárgalo: http://t.co/s5vpym9KrZ
:) #Perspectiva htt…"																			107	7	89	4	-10800	"Daughter of God, worshiper, student, dreamer..."	Chile		Santiago	40894.8501	Open Twitter Page for This Person	https://twitter.com/ailyntiare	Yes					
isaacmoraleja					http://pbs.twimg.com/profile_images/519232420613480448/3RJFLz6i_normal.jpeg					"isaacmoraleja

"																			410	2857	5093	3789	3600	Mi 1er Álbum de Alabanza #Perspectiva ya está disponible en iTunes! | CEO en @MCTVoficial | Amo a mi familia | Fan del Fútbol y el Basquet!		http://t.co/wwVf6dnJr0	Madrid	40725.78321	Open Twitter Page for This Person	https://twitter.com/isaacmoraleja	No					
rachel_mcminn					http://pbs.twimg.com/profile_images/525084944826376192/XcaLpuHv_normal.jpeg					"rachel_mcminn

RT @emilysacc: Shoutout to @rachel_mcminn
for actually bringing me an apple
today.. I just had my apples and
pb :-))"																			289	246	1065	1463	-14400	you have a nice face			Eastern Time (US & Canada)	41085.85084	Open Twitter Page for This Person	https://twitter.com/rachel_mcminn	Yes					
emilysacc					http://pbs.twimg.com/profile_images/527274865502736384/H0Y9_AWP_normal.jpeg					"emilysacc

"																			156	295	6414	1805	-18000	†††	Louisiana		Central Time (US & Canada)	40594.13738	Open Twitter Page for This Person	https://twitter.com/emilysacc	No					
beyoulouis					http://pbs.twimg.com/profile_images/527201436115824640/HLb5Y5VY_normal.png					"beyoulouis

RT @zaynmalik: http://t.co/AAW3FtNw
go get the single x :)"																			5213	5714	9836	2174	-7200	One direction stole all my nights and overnights throughout my sanity too.	?Marie?	https://t.co/vQW98ZEdTd	Brasilia	41716.46744	Open Twitter Page for This Person	https://twitter.com/beyoulouis	Yes					
biebsadem					http://abs.twimg.com/sticky/default_profile_images/default_profile_2_normal.png					"biebsadem

RT @john: @scootdown I just moved
the TestFlight app into my ""Apple""
folder and it made me so happy/proud.
:)"																			7	3	121	71						41826.74646	Open Twitter Page for This Person	https://twitter.com/biebsadem	Yes					
kumorifox					http://pbs.twimg.com/profile_images/3561348364/b7cd7f1b5819dba4378e7f212f422aa4_normal.png					"kumorifox

@TimTims The Apple isn't ripe enough;
they just can't quite cut it. :P"																			54	54	1164	21	0	"I'm a chemistry researcher, working on the new analytical technique of acoustic spectroscopy (BARDS) in UCC."	Ireland		Dublin	40152.2012	Open Twitter Page for This Person	https://twitter.com/kumorifox	Yes					
timtims					http://pbs.twimg.com/profile_images/423534118647779328/D7Pj-VD-_normal.png					"timtims

"																			743	274	1166	1396	0	I'm a singer ... who likes singing...	Ireland		Dublin	40473.36405	Open Twitter Page for This Person	https://twitter.com/timtims	No					
_yarouhd_					http://pbs.twimg.com/profile_images/526888329623506944/gmjJd1aZ_normal.jpeg					"_yarouhd_

RT @zaynmalik: :) http://t.co/Gu85h9G5eJ
x"																			1495	524	1021	724		||DirectionerSelenatorHooliganKatycatTheWeekndMotavator|| BETHANY IS THE BAE - 1D AF - SELLY'S HAPPYNESS - XO LOVE LIGHT POWER DANGER MYSTERY.				41388.93311	Open Twitter Page for This Person	https://twitter.com/_yarouhd_	Yes					
phasevrgv_st					http://pbs.twimg.com/profile_images/518482216721317889/kc8i7KSm_normal.jpeg					"phasevrgv_st

RT @PhaseVMusic: List out some
good radio stations for #NGGYU
to get played here's the link if
you need it :) https://t.co/C6OOxMJXXi"																			164	202	4767	1694		Welcome To The 1st Official RGV Street Team Of @PhaseVMusic! Street Team Leader @WWEJulieBryan?Get #NGGYUOnItunes Link Below!	?Somewhere In The RGV?	https://t.co/C6OOxMJXXi		41772.19501	Open Twitter Page for This Person	https://twitter.com/phasevrgv_st	Yes					
ellemcgaffey					http://pbs.twimg.com/profile_images/466953546869768195/C-v3pgEL_normal.jpeg					"ellemcgaffey

RT @zaynmalik: :) http://t.co/Gu85h9G5eJ
x"																			361	157	576	397		"One direction?  
Zayn malik& Harry styles&louis tomlinson& liam payne& niall horan 30.3.13,31.5.14"				41290.7972	Open Twitter Page for This Person	https://twitter.com/ellemcgaffey	Yes					
horanpraysidio					http://pbs.twimg.com/profile_images/526113135229673472/QJ9ymugl_normal.jpeg					"horanpraysidio

RT @zaynmalik: http://t.co/p3HREj16
get the single today wna get number
1 for you guys :) x"																			5741	6280	48344	5444	-7200	"melhores dias da minha vida, conheci o Justin no m&g em são paulo e a 1D em Los Angeles, Niall disse que eu sou linda e essa bio é uma mentira."	bem longe de jelenators	http://t.co/IZIaQ85uvU	Brasilia	40812.5781	Open Twitter Page for This Person	https://twitter.com/horanpraysidio	Yes					
losemymind_4_tw					http://pbs.twimg.com/profile_images/526325454878162944/qlTHVgL__normal.jpeg					"losemymind_4_tw

RT @PhaseVMusic: List out some
good radio stations for #NGGYU
to get played here's the link if
you need it :) https://t.co/C6OOxMJXXi"																			3034	3088	39023	48731	-25200	Music = Life ? #Jaylexis ? 10/25 ? #NGGYUOniTunes ? #Viber ? #TWFanmily ? #RedHead ? #DQYDD ? #1kxfam ? #Overloader ? #Nexandra ? Lov? my sis @SimplyAugusto	S?xy Flirty Dirty in th? IE/SB	https://t.co/8fPj5dEVYr	Pacific Time (US & Canada)	40712.28156	Open Twitter Page for This Person	https://twitter.com/losemymind_4_tw	Yes					
djmalikloveme					http://pbs.twimg.com/profile_images/527219848120508418/27CVPc3F_normal.png					"djmalikloveme

RT @zaynmalik: UK, have you pre-orderded
Steal My Girl? :) http://t.co/Gu85h9G5eJ"																			1996	1551	5674	2397	7200	"Non serve mica gridare per avere più attenzione; 
le stelle stanno in silenzio eppure c'è chi li guarda per ore.»
?"	Naples.		Athens	40989.77748	Open Twitter Page for This Person	https://twitter.com/djmalikloveme	Yes					
officialvibers					http://pbs.twimg.com/profile_images/518447346771046401/YtQDAhwc_normal.jpeg					"officialvibers

""@PhaseVMusic: List out some good
radio stations for #NGGYU to get
played here's the link if you need
it :) https://t.co/nvQPHGmRAA"""																			68	363	4334	1154		"Support & Follow @PhaseVMusic @Alexhodon @Joseph_MusiaV @ItsJeremiahNeil @Iamthejayc @NelsonSantos_V! Download #NGGYU now on #Itunes
https://t.co/nvQPHGmRAA"		https://t.co/8fPj5dEVYr		40758.88569	Open Twitter Page for This Person	https://twitter.com/officialvibers	Yes					
jamesismylife					http://pbs.twimg.com/profile_images/525826257045319680/4wWNKTXn_normal.jpeg					"jamesismylife

""@PhaseVMusic: List out some good
radio stations for #NGGYU to get
played here's the link if you need
it :) https://t.co/jIYiSwiAyG"""																			792	1927	26749	1795		#MichealJackson @BigTimeRush @PhaseVMusic @JakeMiller @AustinMahone @TaylorSwift13 @Ddlovato @SelenaGomez @MileyCyrus @DallasCowboys @WWE & MORE!!	#CowboysNation #TheYesMovement			40768.89362	Open Twitter Page for This Person	https://twitter.com/jamesismylife	Yes					
ksanto					http://pbs.twimg.com/profile_images/527230696256204800/Li9P4fuN_normal.jpeg					"ksanto

RT @zaynmalik: :) http://t.co/Gu85h9G5eJ
x"																			25	38	401	373		Hi!!				41452.57622	Open Twitter Page for This Person	https://twitter.com/ksanto	Yes					
pisang1962					http://pbs.twimg.com/profile_images/519194384634765312/9v1tT1OV_normal.jpeg					"pisang1962

RT @SetVexy: ""@CommonLinnets: Still
Loving After You - acoustic http://t.co/JBzyTOHeyh
http://t.co/WXTkrFss9d” Photo by
@setvexy :)"																			46	18	35	0		"positief, gedreven, een beetje gek op zijn tijd, muziek, gitaar spelen, massage ! Carpe Diem ! geniet van het leven !"	Tegelen	http://t.co/7xM9xzP8U3		41677.45744	Open Twitter Page for This Person	https://twitter.com/pisang1962	Yes					
commonlinnets					http://pbs.twimg.com/profile_images/443487210588110848/VvyYeXie_normal.jpeg					"commonlinnets

"																			76	15850	1074	12			The Netherlands	http://t.co/TcAgulBhDR		41590.60314	Open Twitter Page for This Person	https://twitter.com/commonlinnets	No					
setvexy					http://pbs.twimg.com/profile_images/1455025774/Twitter_avatar_normal.jpg					"setvexy

"																			146	784	3794	68	-10800	Photography and video productions.	"Middelburg, The Netherlands"	http://t.co/HI8Mr73pcy	Greenland	40092.56809	Open Twitter Page for This Person	https://twitter.com/setvexy	No					
kidrauhlgrier_					http://pbs.twimg.com/profile_images/526482124988506114/87gdKNex_normal.jpeg					"kidrauhlgrier_

RT @john: @scootdown I just moved
the TestFlight app into my ""Apple""
folder and it made me so happy/proud.
:)"																			1058	626	9383	4488	-7200	"apaguem esse fogo pq o hayes pertence á mim.
download @shots"		https://t.co/ETFlLQXRCK	Brasilia	41321.12552	Open Twitter Page for This Person	https://twitter.com/kidrauhlgrier_	Yes					
zouisckz					http://pbs.twimg.com/profile_images/526192076354904064/Y5oNr68B_normal.jpeg					"zouisckz

RT @john: @scootdown I just moved
the TestFlight app into my ""Apple""
folder and it made me so happy/proud.
:)"																			1587	1512	34911	695	-7200	"não se iluda, louis é condalover"	1d jb cody tvamps miley magcon		Brasilia	41127.95623	Open Twitter Page for This Person	https://twitter.com/zouisckz	Yes					
jennjohns91					http://pbs.twimg.com/profile_images/483999286342848512/a3eK6oOC_normal.jpeg					"jennjohns91

I literally got an apple from a
student today. :) #applefortheteacher
#cliche"																			515	295	2869	1824	-18000	"Concordia College Grad '13. Music Educator. Lover of God, family, friends, music, camp, and kids. Seeking to live every day to the fullest. 1 Corinthians 10:13."	"Aitkin, Bemidji, Emmaus, CC :)"	http://t.co/NUyXObYoi8	Central Time (US & Canada)	40194.93377	Open Twitter Page for This Person	https://twitter.com/jennjohns91	Yes					
xastjerjoenelx					http://pbs.twimg.com/profile_images/526141494504480768/j4qBydBB_normal.jpeg					"xastjerjoenelx

RT @PhaseVMusic: List out some
good radio stations for #NGGYU
to get played here's the link if
you need it :) https://t.co/C6OOxMJXXi"																			1749	939	23219	790	0	Street team leader who used to sleep until @phasevmusic showed up. #viber #JerJoeNel #phasev #NGGYU out now	UK	https://t.co/3l7bDRR5OO	London	39868.87954	Open Twitter Page for This Person	https://twitter.com/xastjerjoenelx	Yes					
watterloony					http://pbs.twimg.com/profile_images/513089929077735424/nrotyXXC_normal.png					"watterloony

@mainlystanding @watt_tracy74 I've
had chips swimming in vinegar,
but never had to dook for them!
Haha! Cooked for a few Apple though!
:)"																			1579	735	17705	7619	0	"Dad! Dons fan! Tcheuchter! Lover of fine whisky! Like to take plenty of pictures! 
RWM! /G\ Klaatu Barada Nikto!!! 
Instagram: mikeywatterloony"	Lonmay Scotland United Kingdom		Edinburgh	40561.91685	Open Twitter Page for This Person	https://twitter.com/watterloony	Yes					
